!I|NONE|NONE
!newmap|NONE|NONE
!tm2|324|979
DynoDM_Rivers|156|468
EagleRac4|1198|3561
Easy 1|939|2622
Elite Dm1|211|639
Elite dm3|616|1811
Eliteenator|1435|4502
Empty|NONE|NONE
Ertno|632|1948
Escapelt3|NONE|NONE
EutopiaI|NONE|NONE
Excast 2|NONE|NONE
Excast 5|NONE|NONE
Experiment|NONE|NONE
FCTF|638|1967
FEAR|NONE|NONE
FLY-TO-VenTus|NONE|NONE
FWYS_2|NONE|NONE
Fantasy|923|2732
Fantome_2|NONE|NONE
FastDM_Rivers|264|808
Fear of heights|1347|4085
Feliy_2|1511|4326
Feliy_II|1583|4541
Fight|190|602
Flamingu|NONE|NONE
FlipLipp|NONE|NONE
FlipLipp2|NONE|NONE
FlipLipp3|NONE|NONE
FlipLipp6|NONE|NONE
FlipLipp8e|NONE|NONE
FlippLipp6|NONE|NONE
Fly-4-2|NONE|NONE
FlyLand|1399|4203
Flyway2Highway|614|1843
Fonders|1670|4959
Forever|2874|8203
Forvert_I|1141|3311
FreeDoom|NONE|NONE
FreeDoom2|NONE|NONE
Fresh|NONE|NONE
Frost|142|409
Frostbite|2557|7349
Generic Fly|NONE|NONE
Gesicherte_Ctf|NONE|NONE
GlassBox 10|695|1956
GoHA|1566|4186
Good Ol' Days 2|2225|6891
Good_Luck_2|NONE|NONE
Google|NONE|NONE
Gray Ray|NONE|NONE
Green|NONE|NONE
Greeny|909|2728
Gridwyn6|NONE|NONE
GubbaMainstream1|195|556
Gunni|223|754
HDD|NONE|NONE
HDP_Andeguineresis|1405|4034
HDP_Concurso2|42|112
HDP_Escalera|NONE|NONE
HDP_Exudar|874|2479
HDP_Filosoflow1.2|759|2325
HDP_FinDelMundo|NONE|NONE
HDP_Gajos10|NONE|NONE
HDP_Giros|128|362
HDP_Para3|1182|3368
HDP_Paridas|2017|5729
HDP_Pepper|1087|2869
HDP_Savage|NONE|NONE
HDP_Sunset|1754|5321
HDP_Zinderencio|NONE|NONE
HDP_mortadela_kon_zebolla|699|1875
HDP_nico-kires|NONE|NONE
HDP_ninini|635|1687
HDP_tontuko|662|1762
HRByDante|NONE|NONE
HUNT|1227|3798
HammerflyTutorial|0|0
Happy|110|288
Hard Way 1.0|1715|5088
HardStyle3.0|240|685
Hardcore 3|NONE|NONE
Hardcore 5|NONE|NONE
Hardstyle 1|NONE|NONE
Hardstyle 2|1824|5836
Hardstyle_1|NONE|NONE
Hasnes4|160|445
Hell Fly|197|629
HellFly|NONE|NONE
Hell_Ride|NONE|NONE
Hendrix4Xoxo|NONE|NONE
Hermine|0|0
Heroic|2244|6652
Holy Key_append|NONE|NONE
Hook1|NONE|NONE
HookFly|50|134
Hop|514|1618
House|428|1185
HouseLife|1049|2765
I'm_awesome|1014|3038
IRGNW1|NONE|NONE
Ice-house|1608|4304
Icy Morning|2627|7787
Ikou|1073|2926
Im No Super|NONE|NONE
Im No Superman 1|NONE|NONE
Impossible|NONE|NONE
Impossible3|NONE|NONE
Impossible_2|NONE|NONE
Impulse_03|337|953
Inception|NONE|NONE
Infinity|NONE|NONE
Intense 1.0|890|2661
Interactive|136|408
Jailbreak 2.0|NONE|NONE
Jailbreak 6|1542|4477
JetPack|NONE|NONE
Jigsaw.PwS.Zintl|1120|3255
JosuA132|690|2030
Juli16|272|840
Jungelnacht|1654|4467
JungleBeat|280|831
JungleCTF|654|2059
JungleTrouble|NONE|NONE
Jungle_Day|475|1456
Jungle_Gym1|1491|4069
Jupiter|NONE|NONE
Jus2(1Player)|NONE|NONE
JustCore|106|310
Just_Fly 2|417|1260
Just_TeE12|NONE|NONE
K74-II|558|1661
KENZOMAP|NONE|NONE
Kampf|276|911
Killa 2|986|2859
Killa 4|1856|5498
Killa_3|1037|3072
Killtaps|249|777
KnuddelMap_By_Wuschel|630|1615
KoTH_1|1152|3527
Kokoro Z|741|2191
Koule (14)|NONE|NONE
Koule 03|NONE|NONE
Koule 08|1146|3299
Koule 5|NONE|NONE
Koule 7|NONE|NONE
Koule|NONE|NONE
Koule09|NONE|NONE
Koule15|NONE|NONE
Koule2|NONE|NONE
Koule4|1146|3299
Koule6|NONE|NONE
Koule9|NONE|NONE
Koule_01|NONE|NONE
Koule_05|NONE|NONE
Koule_06|NONE|NONE
Koule_1|NONE|NONE
